speciesKey,species,occurrenceCount,vernacularNameEn,vernacularNameEs,imageSrc,imageUrl,imageBy,speciesGroup,iucnRedListCategory,vernacularNameEl,source_El
2417970,Carcharhinus limbatus,20508,Common Blacktip Shark,,https://inaturalist-open-data.s3.amazonaws.com/photos/225162527/medium.jpg,https://www.inaturalist.org/observations/132236117,Simon Pierce,Sharks & Rays,VU,Καρχαρίνος μελανόακρος,FishBase
8231523,Sillago ciliata,20409,Sand Whiting,,,,,Bony fish,LC,No Greek name,No Greek name
2433474,Arctocephalus forsteri,20198,Long-nosed Fur Seal,,,,,Marine mammals,LC,No Greek name,No Greek name
9743996,Phaethon aethereus,20112,Red-billed Tropicbird,,https://inaturalist-open-data.s3.amazonaws.com/photos/328451776/medium.jpg,https://www.inaturalist.org/observations/187769613,Gerold Morrison,Birds,LC,Φαέθων με κόκκινο ράμφος,Wikidata
2374885,Lethrinus nebulosus,19859,Spangled Emperor,,https://inaturalist-open-data.s3.amazonaws.com/photos/287497294/medium.jpg,https://www.inaturalist.org/observations/166044553,Bruce Deagle,Bony fish,LC,No Greek name,No Greek name
2397850,Xiphias gladius,19763,Broadbill Swordfish,,,,,Bony fish,NT,Ξιφίας,Wikidata
2383158,Achoerodus gouldii,18566,Western Blue Groper,,,,,Bony fish,VU,Δυτικός μπλε γκρόπερ,translated from English
2391175,Pseudocaranx dentex,18176,Silver Trevally,,,,,Bony fish,LC,Κοκκάλι,FishBase
5863764,Metacarcinus magister,17881,Dungeness Crab,,https://inaturalist-open-data.s3.amazonaws.com/photos/63867685/medium.jpeg,https://www.inaturalist.org/observations/40206596,Ben Zerante,Invertebrates,,Καβούρι Dungeness,translated from English
2434982,Leopardus pardalis,17684,Ocelot,,,,,Terrestrial mammals,LC,Οσελότος,Wikidata
5962163,Maccullochella mariensis,16113,Mary River Cod,,,,,Bony fish,EN,No Greek name,No Greek name
5229359,Puffinus tenuirostris,15795,Short-tailed Shearwater,,https://inaturalist-open-data.s3.amazonaws.com/photos/136828700/medium.jpeg,https://www.inaturalist.org/observations/83236445,Miguel A. Casado,Birds,LC,No Greek name,No Greek name
2418003,Carcharhinus albimarginatus,14901,Silvertip Shark,,,,,Sharks & Rays,VU,Καρχαρία με λευκά πτερύγια,translated from English
2417940,Prionace glauca,14894,Blue Shark,,https://inaturalist-open-data.s3.amazonaws.com/photos/220488434/medium.jpeg,https://www.inaturalist.org/observations/129721590,Frederico Almada,Sharks & Rays,NT,Γλαυκοκαρχαρίας,Wikidata
2420694,Carcharodon carcharias,14516,Great White Shark,,https://inaturalist-open-data.s3.amazonaws.com/photos/10571121/medium.jpg,https://www.inaturalist.org/observations/7991617,stephencoutts,Sharks & Rays,VU,Λευκός καρχαρίας,Wikidata
5215567,Glyphis glyphis,14409,Speartooth Shark,,,,,Sharks & Rays,VU,No Greek name,No Greek name
1010610,Limulus polyphemus,14401,Atlantic Horseshoe Crab,,https://inaturalist-open-data.s3.amazonaws.com/photos/173778952/medium.jpg,https://www.inaturalist.org/observations/103781676,Rigel Nava,Invertebrates,VU,Ξιφόσουρα,https://el.wikipedia.org/wiki/%CE%9E%CE%B9%CF%86%CF%8C%CF%83%CE%BF%CF%85%CF%81%CE%B1
2381337,Kyphosus vaigiensis,13968,Brassy Drummer,,,,,Bony fish,LC,No Greek name,No Greek name
2481383,Phoebastria nigripes,13580,Black-footed Albatross,,https://inaturalist-open-data.s3.amazonaws.com/photos/62843720/medium.jpg,https://www.inaturalist.org/observations/39601433,Robin Gwen Agarwal,Birds,NT,Άλμπατρος του Βόρειου Ειρηνικού,https://el.wikipedia.org/wiki/%CE%86%CE%BB%CE%BC%CF%80%CE%B1%CF%84%CF%81%CE%BF%CF%82_%CF%84%CE%BF%CF%85_%CE%92%CF%8C%CF%81%CE%B5%CE%B9%CE%BF%CF%85_%CE%95%CE%B9%CF%81%CE%B7%CE%BD%CE%B9%CE%BA%CE%BF%CF%8D
2433475,Arctocephalus pusillus,12664,Brown Fur Seal,,,,,Marine mammals,LC,No Greek name,No Greek name
5201404,Platycephalus fuscus,12518,Dusky Flathead,,,,,Bony fish,,No Greek name,No Greek name
2498350,Somateria spectabilis,11666,King Eider,,https://inaturalist-open-data.s3.amazonaws.com/photos/475565250/medium.jpeg,https://www.inaturalist.org/observations/264818360,Vasily Kalinichenko,Birds,LC,Βασιλόπαπια,https://www.hellenicparliament.gr/UserFiles/2f026f42-950c-4efc-b950-340c4fb76a24/12179593.pdf
2418028,Carcharhinus amboinensis,11338,Pigeye Shark,,,,,Sharks & Rays,VU,Καρχαρία της Ιάβας,translated from English
2289202,Nautilus pompilius,10943,Emperor Nautilus,,,,,Invertebrates,,Ναυτίλος ,https://el.wikipedia.org/wiki/%CE%9D%CE%B1%CF%85%CF%84%CE%AF%CE%BB%CE%BF%CF%82_(%CE%B6%CF%89%CE%BF%CE%BB%CE%BF%CE%B3%CE%AF%CE%B1)
2434810,Histriophoca fasciata,10849,Ribbon Seal,,https://inaturalist-open-data.s3.amazonaws.com/photos/11319079/medium.jpeg,https://www.inaturalist.org/observations/8486729,,Marine mammals,LC,Ταινιοφόρος Φώκια,https://www.inaturalist.org/el/taxa/41698-Histriophoca-fasciata
