taxonKey,species,englishName,imageSrc,imageUrl,imageBy,license,numberOfOccurrences
2351271,Salvelinus fontinalis,Brook Trout,https://inaturalist-open-data.s3.amazonaws.com/photos/242646325/large.jpg,https://www.inaturalist.org/observations/211499360,Bruce Deagle,cc-by,3855
2497295,Asio flammeus,Short-eared Owl,https://inaturalist-open-data.s3.amazonaws.com/photos/344405593/large.jpg,https://www.inaturalist.org/observations/195724174,pkondrashov,cc-by-nc,3784
2225646,Callinectes sapidus,Atlantic Blue Crab,https://inaturalist-open-data.s3.amazonaws.com/photos/226510112/large.jpg,https://www.inaturalist.org/observations/133016863,chantel_pence,cc-by-nc,3346
2351209,Coregonus huntsmani,Atlantic Whitefish,https://inaturalist-open-data.s3.amazonaws.com/photos/29564925/large.jpeg,https://www.inaturalist.org/observations/19243337,Ian Manning,cc-by,3310
2409330,Platichthys flesus,European Flounder,https://inaturalist-open-data.s3.amazonaws.com/photos/84144698/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/84144698/large.jpg,charlienaysmith,cc-by-nc,2804
2420600,Notorynchus cepedianus,Broadnose Sevengill Shark,https://inaturalist-open-data.s3.amazonaws.com/photos/15570417/large.jpg,https://www.inaturalist.org/observations/11036668,rowanwattpringle,cc-by-nc,2789
5229165,Aegypius monachus,Cinereous Vulture,https://inaturalist-open-data.s3.amazonaws.com/photos/547875364/large.jpg,https://www.inaturalist.org/observations/303944080,Сергей,cc-by-nc,2450
2420694,Carcharodon carcharias,Great White Shark,https://inaturalist-open-data.s3.amazonaws.com/photos/10571121/large.jpg,https://www.inaturalist.org/observations/7991617,stephencoutts,cc-by-nc,2029
5216239,Lamna nasus,Porbeagle,https://inaturalist-open-data.s3.amazonaws.com/photos/261649646/large.jpg,https://www.inaturalist.org/observations/151628207,mumudu,cc-by-nc,1814
2418005,Carcharhinus obscurus,Dusky Shark,https://inaturalist-open-data.s3.amazonaws.com/photos/10584611/large.jpg,https://www.inaturalist.org/observations/8000290,stephencoutts,cc-by-nc,1649
2418234,Galeocerdo cuvier,Tiger Shark,https://inaturalist-open-data.s3.amazonaws.com/photos/174032335/large.jpeg,https://www.inaturalist.org/observations/103910661,Sylvain Le Bris,cc-by-nc,1582
2435270,Acinonyx jubatus,Cheetah,https://inaturalist-open-data.s3.amazonaws.com/photos/175608470/large.jpeg,https://www.inaturalist.org/observations/104758896,Justin Ponder,cc-by,1190
2359706,Rutilus rutilus,Common Roach,https://inaturalist-open-data.s3.amazonaws.com/photos/523855041/large.jpg,https://www.inaturalist.org/observations/291170776,michal_michlewicz,cc-by-nc,1037
2417495,Ginglymostoma cirratum,Nurse Shark,https://inaturalist-open-data.s3.amazonaws.com/photos/439764980/large.jpeg,https://www.inaturalist.org/observations/246346292,CONANP_Reserva de la Biosfera Banco Chinchorro,cc-by-nc,1035
